sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_12,B,12,39.94
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_24,B,24,36.35
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_5,B,5,56.71
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_6,B,6,56.72
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_19,B,19,34.7
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_21,B,21,35.81
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_23,B,23,35.65
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_10,B,10,40.38
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_15,B,15,42.46
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_14,B,14,41.58
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_8,B,8,56.72
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_9,B,9,40.27
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_18,B,18,35.47
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_2,B,2,223.73
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp.B.x_4,B,4,56.66
