sys,sysname,arch,cpu-clock,isa,l1d_assoc,l1d_cache_lines,l1d_shared_by_threads,l1d_size,l2_assoc,l2_cache_lines,l2_shared_by_threads,l2_size,l3_assoc,l3_cache_lines,l3_shared_by_threads,l3_size,mem_size,mem_type,mem_clock,num_cpus,bus_speed,system,executable,PS,no_of_procs,runtime
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_22,B,22,16.9
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_19,B,19,17.87
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_24,B,24,16.64
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_4,B,4,35.61
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_14,B,14,16.36
hpcserver1010071160,Supermicro_X9DR3-F,IntelXeonE52640v2_DDR31600_32GB,2,X86_64,8,64,1,32,8,64,1,256,20,64,16,20480,32,DDR3,1600,16,29491.2,hpcserver1010071160,npb_sp-mz.B.x_23,B,23,17.05
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_6,B,6,18.77
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_12,B,12,11.8
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_7,B,7,17.57
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_5,B,5,22.22
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_15,B,15,15.57
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_20,B,20,13.56
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_2,B,2,52.71
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_3,B,3,36.15
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_11,B,11,11.92
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_1,B,1,102.9
hpcserver1010071130,Supermicro_X10DRi,IntelXeonE52620v3_DDR42133_64GB,2.4,X86_64,8,64,1,32,8,64,1,256,20,64,12,15360,64,DDR4,2133,12,32768,hpcserver1010071130,npb_sp-mz.B.x_18,B,18,12.97
